task_id,agent_id,tool_id,permission_result,policy_reason,requires_approval,risk_level,reversible_flag,span_type
task_00001,finance_agent,query_revenue_anomalies,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00001,finance_agent,calculate_margin_impact,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00002,fraud_agent,score_transaction_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00002,fraud_agent,check_identity_graph,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00003,support_agent,summarize_support_case,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00003,support_agent,recommend_refund,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00004,supply_chain_agent,check_inventory_risk,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00004,supply_chain_agent,simulate_reroute,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00005,healthcare_ops_agent,validate_claim_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00005,healthcare_ops_agent,check_policy_eligibility,require_approval,least_privilege_and_approval_policy,True,high,False,tool_call
task_00006,data_quality_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00007,reliability_agent,,deny,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00008,rag_agent,retrieve_documents,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00008,rag_agent,validate_citations,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00009,metrics_agent,check_metric_definition,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00009,metrics_agent,compare_metric_versions,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00010,governance_agent,check_access_policy,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00010,governance_agent,detect_prompt_injection,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00011,security_agent,,deny,prompt_injection_block,True,medium,True,tool_call
task_00012,executive_agent,generate_executive_briefing,allow,least_privilege_and_approval_policy,False,low,True,tool_call
task_00012,executive_agent,summarize_cross_domain_risk,allow,least_privilege_and_approval_policy,False,medium,True,tool_call
task_00013,finance_agent,query_revenue_anomalies,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00013,finance_agent,calculate_margin_impact,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
task_00014,fraud_agent,score_transaction_risk,require_approval,least_privilege_and_approval_policy,True,low,True,tool_call
task_00014,fraud_agent,check_identity_graph,require_approval,least_privilege_and_approval_policy,True,medium,True,tool_call
