event_id,task_id,agent_id,action_type,tool_id,decision_id,policy_result,timestamp,reason,evidence
audit_000001,task_00001,finance_agent,tool_permission_evaluation,query_revenue_anomalies,,allow,2026-01-01 00:00:00,least_privilege_and_approval_policy,tool policy engine
audit_000002,task_00001,finance_agent,tool_permission_evaluation,calculate_margin_impact,,allow,2026-01-01 00:00:01,least_privilege_and_approval_policy,tool policy engine
audit_000003,task_00002,fraud_agent,tool_permission_evaluation,score_transaction_risk,,allow,2026-01-01 00:00:02,least_privilege_and_approval_policy,tool policy engine
audit_000004,task_00002,fraud_agent,tool_permission_evaluation,check_identity_graph,,allow,2026-01-01 00:00:03,least_privilege_and_approval_policy,tool policy engine
audit_000005,task_00003,support_agent,tool_permission_evaluation,summarize_support_case,,allow,2026-01-01 00:00:04,least_privilege_and_approval_policy,tool policy engine
audit_000006,task_00003,support_agent,tool_permission_evaluation,recommend_refund,,allow,2026-01-01 00:00:05,least_privilege_and_approval_policy,tool policy engine
audit_000007,task_00004,supply_chain_agent,tool_permission_evaluation,check_inventory_risk,,allow,2026-01-01 00:00:06,least_privilege_and_approval_policy,tool policy engine
audit_000008,task_00004,supply_chain_agent,tool_permission_evaluation,simulate_reroute,,allow,2026-01-01 00:00:07,least_privilege_and_approval_policy,tool policy engine
audit_000009,task_00005,healthcare_ops_agent,tool_permission_evaluation,validate_claim_documents,,require_approval,2026-01-01 00:00:08,least_privilege_and_approval_policy,tool policy engine
audit_000010,task_00005,healthcare_ops_agent,tool_permission_evaluation,check_policy_eligibility,,require_approval,2026-01-01 00:00:09,least_privilege_and_approval_policy,tool policy engine
audit_000011,task_00006,data_quality_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:10,least_privilege_and_approval_policy,tool policy engine
audit_000012,task_00007,reliability_agent,tool_permission_evaluation,,,deny,2026-01-01 00:00:11,least_privilege_and_approval_policy,tool policy engine
audit_000013,task_00008,rag_agent,tool_permission_evaluation,retrieve_documents,,require_approval,2026-01-01 00:00:12,least_privilege_and_approval_policy,tool policy engine
audit_000014,task_00008,rag_agent,tool_permission_evaluation,validate_citations,,require_approval,2026-01-01 00:00:13,least_privilege_and_approval_policy,tool policy engine
