agent_id,agent_name,domain,capabilities,allowed_tools,restricted_tools,max_autonomy_level,escalation_threshold,decision_authority,risk_tolerance,requires_human_approval_for,description
finance_agent,Finance Agent,finance,finance_analysis|margin_simulation|approval_review,query_revenue_anomalies|calculate_margin_impact|check_invoice_status|simulate_finance_approval|check_access_policy,freeze_account_shadow|simulate_backfill,3,67,recommend,medium,high_risk|irreversible|cross_domain,Deterministic finance specialist agent for governed workflow simulation.
fraud_agent,Fraud Agent,fraud,fraud_scoring|identity_review|false_positive_estimation,score_transaction_risk|check_identity_graph|freeze_account_shadow|estimate_false_positive_cost|check_access_policy,,4,72,recommend,high,high_risk|irreversible|cross_domain,Deterministic fraud specialist agent for governed workflow simulation.
support_agent,Support Agent,support,case_summary|refund_review|escalation_routing,summarize_support_case|recommend_refund|mask_customer_pii|escalate_support_case|check_access_policy,freeze_account_shadow|simulate_backfill,2,77,recommend,low,high_risk|irreversible|cross_domain,Deterministic support specialist agent for governed workflow simulation.
supply_chain_agent,Supply Chain Agent,supply_chain,inventory_risk|reroute_simulation|supplier_delay,check_inventory_risk|simulate_reroute|estimate_stockout_cost|escalate_supplier_delay|check_access_policy,freeze_account_shadow|simulate_backfill,3,62,recommend,medium,high_risk|irreversible|cross_domain,Deterministic supply_chain specialist agent for governed workflow simulation.
healthcare_ops_agent,Healthcare Ops Agent,healthcare_ops,claim_triage|eligibility_review|documentation_check,validate_claim_documents|check_policy_eligibility|route_to_medical_review|summarize_claim_risk|check_access_policy,freeze_account_shadow|simulate_backfill,4,67,recommend,high,high_risk|irreversible|cross_domain,Deterministic healthcare_ops specialist agent for governed workflow simulation.
data_quality_agent,Data Quality Agent,data_quality,quality_checks|freshness_review|dataset_validation,check_access_policy,freeze_account_shadow|simulate_backfill,2,72,recommend,low,high_risk|irreversible|cross_domain,Deterministic data_quality specialist agent for governed workflow simulation.
reliability_agent,Reliability Agent,reliability,incident_triage|sla_analysis|backfill_recommendation,check_access_policy,,3,77,recommend,medium,high_risk|irreversible|cross_domain,Deterministic reliability specialist agent for governed workflow simulation.
rag_agent,Rag Agent,rag,retrieval_eval|citation_check|staleness_review,retrieve_documents|validate_citations|check_document_freshness|score_hallucination_risk|check_access_policy,freeze_account_shadow|simulate_backfill,4,62,recommend,high,high_risk|irreversible|cross_domain,Deterministic rag specialist agent for governed workflow simulation.
metrics_agent,Metrics Agent,metrics,metric_review|semantic_trust|kpi_conflict_detection,check_metric_definition|compare_metric_versions|validate_metric_contract|freeze_metric_certification|check_access_policy,freeze_account_shadow|simulate_backfill,2,67,recommend,low,high_risk|irreversible|cross_domain,Deterministic metrics specialist agent for governed workflow simulation.
governance_agent,Governance Agent,governance,policy_enforcement|access_approval|audit_review,check_access_policy|detect_prompt_injection|detect_tool_misuse|create_governance_incident|request_human_approval|check_access_policy,freeze_account_shadow|simulate_backfill,3,72,recommend,medium,high_risk|irreversible|cross_domain,Deterministic governance specialist agent for governed workflow simulation.
security_agent,Security Agent,security,prompt_attack_detection|tool_misuse_detection|incident_generation,check_access_policy,freeze_account_shadow|simulate_backfill,4,77,recommend,high,high_risk|irreversible|cross_domain,Deterministic security specialist agent for governed workflow simulation.
executive_agent,Executive Agent,executive,briefing_generation|risk_summary|decision_memo,generate_executive_briefing|summarize_cross_domain_risk|rank_decision_options|check_access_policy,freeze_account_shadow|simulate_backfill,2,62,summarize,low,high_risk|irreversible|cross_domain,Deterministic executive specialist agent for governed workflow simulation.
