approval_id,task_id,requested_action,requesting_agent,risk_score,confidence_score,reason,required_approver_role,approval_status,created_at,reviewer,reviewer_comment,decision_timestamp,decision_reason,post_decision_action
approval_00001,task_00001,review approval queue,finance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:01:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00002,task_00003,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:03:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00003,task_00005,review approval queue,healthcare_ops_agent,63,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:05:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00004,task_00008,review approval queue,rag_agent,69,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:08:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00005,task_00009,review approval queue,metrics_agent,75,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:09:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00006,task_00010,review approval queue,governance_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:10:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
approval_00007,task_00012,review approval queue,executive_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,requires_more_evidence,2026-01-01 00:12:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,request_more_evidence
approval_00008,task_00013,review approval queue,finance_agent,93,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,escalated,2026-01-01 00:13:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,route_to_governance_lead
approval_00009,task_00014,review approval queue,fraud_agent,51,0.83,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,approved,2026-01-01 00:14:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,release_from_escrow
approval_00010,task_00015,review approval queue,support_agent,93,0.88,Decision selected by confidence-risk gate and tool policy evaluation.,domain_owner,rejected,2026-01-01 00:15:00,synthetic_domain_owner,Synthetic V0.2 approval decision for demo workflow.,2026-01-01T12:00:00Z,risk reviewed against deterministic policy,keep_blocked
